-0.02;0.71;-0.61;-0.16;0.60;-0.79;0.03;-0.02;1.04;1
-0.20;0.85;-0.46;-0.19;0.88;-0.44;0.05;-0.02;1.04;1
-0.25;0.83;-0.52;-0.27;0.90;-0.38;0.05;0.00;1.02;1
-0.30;0.83;-0.14;-0.02;0.65;-0.76;0.00;0.61;-0.79;1
0.00;0.60;-0.79;0.00;0.66;-0.76;-0.14;0.71;-0.69;1
-0.38;0.91;-0.11;-0.33;0.91;0.00;0.05;0.00;1.02;1
0.31;-0.58;-0.76;-0.50;0.46;-0.87;-0.33;0.41;-0.82;1
-0.44;0.60;-0.69;-0.47;0.50;-0.72;-0.39;0.52;-0.66;1
-0.33;0.55;-0.52;0.20;-0.30;-0.96;0.03;0.02;1.02;1
-0.49;0.65;-0.54;-0.50;0.66;-0.54;-0.50;0.65;-0.54;1
-0.52;0.72;-0.65;-0.63;0.58;-0.35;0.30;-0.25;-0.91;1
-0.36;0.50;-0.43;0.03;0.00;1.01;-0.11;0.52;-0.85;1
-0.11;0.50;-0.85;-0.09;0.50;-0.85;-0.09;0.49;-0.85;1
-0.11;0.47;-0.85;-0.14;0.52;-0.88;-0.17;0.31;-0.88;1
0.27;-0.68;-0.72;0.14;-0.65;-0.76;0.22;-0.74;-0.83;1
0.13;-0.55;-0.80;0.14;-0.58;-0.82;-0.19;0.52;-0.83;1
-0.17;0.52;-0.82;-0.17;0.52;-0.82;-0.17;0.50;-0.82;1
0.14;-0.69;-0.80;-0.02;-0.94;-0.36;-0.16;0.50;-0.83;1
-0.17;0.68;-0.71;-0.19;0.68;-0.69;-0.16;0.57;-0.79;1
0.22;0.83;0.44;-0.16;0.85;-0.11;-0.28;0.55;-0.91;1
-0.03;0.14;-0.96;-0.06;0.14;-0.96;-0.03;0.14;-0.94;0
-0.03;0.14;-0.96;-0.03;0.16;-0.93;-0.05;0.14;-0.96;0
-0.06;0.14;-0.96;-0.06;0.13;-0.96;-0.03;0.14;-0.96;0
-0.06;0.14;-0.96;-0.05;0.14;-0.96;-0.06;0.14;-0.96;0
-0.06;0.14;-0.96;-0.05;0.14;-0.96;-0.05;0.16;-0.96;0
-0.05;0.16;-0.96;-0.05;0.14;-0.98;-0.06;0.16;-0.94;0
-0.06;0.14;-0.96;-0.05;0.14;-0.96;-0.06;0.14;-0.96;0
-0.06;0.13;-0.96;-0.06;0.14;-0.98;-0.06;-0.25;-0.98;0
-0.05;0.14;-0.96;-0.05;0.14;-0.96;-0.03;0.14;-0.96;0
-0.05;0.16;-0.94;-0.06;-0.74;-0.57;0.00;-1.06;0.03;0
0.11;-1.01;-0.02;-0.06;1.17;0.22;0.03;1.01;0.00;0
0.11;-0.11;-0.98;0.11;-0.11;-0.99;0.09;-0.11;-0.98;0
0.09;-0.11;-0.99;0.11;-0.11;-0.96;0.11;-0.11;-0.98;0
0.11;-0.11;-0.99;0.11;-0.11;-0.98;0.11;-0.11;-0.96;0
0.11;-0.11;-0.98;0.09;-0.11;-0.96;0.09;-0.11;-0.96;0
0.09;-0.11;-0.96;0.11;-0.11;-0.99;0.11;-0.13;-0.98;0
0.13;-0.11;-0.98;0.09;-0.11;-0.96;0.02;0.99;-0.22;0
-0.08;0.99;-0.22;0.33;0.90;-0.50;-0.06;0.98;-0.22;0
0.90;-0.55;0.19;0.90;-0.55;0.24;0.91;-0.54;0.22;0
0.91;-0.54;0.25;0.87;-0.52;0.33;0.93;-0.52;0.11;0
0.87;-0.61;0.17;0.85;-0.61;0.20;0.76;-0.25;0.71;0
0.76;-0.30;0.65;0.35;-0.85;0.49;0.36;-0.85;0.47;0
0.36;-0.85;0.46;0.38;-0.85;0.47;0.35;-0.87;0.46;0
0.36;-0.87;0.46;0.36;-0.87;0.44;0.30;-0.93;0.39;0
-0.13;-0.69;0.77;0.98;0.24;0.28;0.08;1.04;0.00;0
0.00;-0.13;-0.98;0.00;-0.13;-0.96;0.05;1.12;0.08;0
0.11;1.01;0.13;0.17;1.02;0.08;0.16;1.01;0.13;0
0.08;-0.17;-0.98;0.08;-0.17;-0.98;0.08;-0.17;-0.98;0
0.08;-0.17;-0.98;0.16;1.12;0.06;0.24;0.68;0.77;0
0.13;-0.14;-0.96;0.03;0.96;0.14;-0.14;1.04;0.02;0
0.11;-0.16;-0.96;0.11;-0.16;-0.98;0.47;0.99;-1.83;0
